ETF,Total Return,Annualized Volatility,Max Drawdown
SPY,20.42%,12.57%,-8.88%
QQQ,28.73%,18.35%,-11.96%
GLD,23.11%,27.84%,-26.21%
TLT,2.80%,9.55%,-7.58%
