ETF,Weight,Marginal Contribution to Risk,Risk Contribution,% Risk Contribution
SPY,35.00%,16.12%,5.64%,40.75%
QQQ,25.00%,21.27%,5.32%,38.41%
GLD,20.00%,8.49%,1.70%,12.26%
TLT,20.00%,5.93%,1.19%,8.57%
