,SPY Avg Return,SPY Volatility,QQQ Avg Return,QQQ Volatility,GLD Avg Return,GLD Volatility,TLT Avg Return,TLT Volatility,Number of Days
Stress Days,-0.014820803727953816,0.004412732232598302,-0.02004575116416552,0.008276489999129576,-0.007287783379682833,0.02410206262576451,-0.0010339504862996042,0.009098106774855074,25
Normal Days,0.001046228530283615,0.0044717176854357785,0.0014326446252225639,0.0073467885995622175,0.0006220265883761483,0.015919314824871945,-0.00019575243848991676,0.005571214886974059,200
Strong Days,0.014198680871558497,0.004850624235511027,0.019358916774917932,0.0075222242154822806,0.012183440904512937,0.01747112259366963,0.0038853547007004297,0.004250014364634148,25
