Regime,Delta Avg Daily Return,Delta Daily Volatility,Delta Total Return,Delta Max Drawdown
Stress Days,0.0011299530522406506,0.0011852788489368086,0.020754980004966228,0.016846519736838594
Normal Days,-6.363029128611997e-05,0.0003861499190921597,-0.015428423320954066,-0.0011789915388854544
Strong Days,-0.00030228599505683316,0.0009665485721631886,-0.010449073459754876,0.0
