Regime,Portfolio,Number of Days,Avg Daily Return,Daily Volatility,Total Return,Max Drawdown
Normal Days,Without GLD,903,0.0004346479281037858,0.00565488036571157,0.4593421271529796,-0.240331748262698
Normal Days,With GLD,903,0.00045717204668459027,0.005333222740491636,0.49168574019105327,-0.21417592928705576
Stress Days,Without GLD,114,-0.01733201274479156,0.007440515574951751,-0.8641816163403325,-0.8615862057392529
Stress Days,With GLD,114,-0.014656342377249745,0.007008872904839435,-0.8147522794596717,-0.8116785099930585
Strong Days,Without GLD,114,0.017049013696660103,0.008804066973522416,5.842113791702167,0.0
Strong Days,With GLD,114,0.014679074051948519,0.008269635972554902,4.246653980738451,0.0
