Regime,SPY,QQQ,GLD,TLT,Number of Days
Stress Days,-0.014820803727953816,-0.02004575116416552,-0.007287783379682833,-0.0010339504862996042,25
Normal Days,0.001046228530283615,0.0014326446252225639,0.0006220265883761483,-0.00019575243848991676,200
Strong Days,0.014198680871558497,0.019358916774917932,0.012183440904512937,0.0038853547007004297,25
